# log_X log_likelihood tiebreaker accepts tries exceeds visits
-5.869430703770832025e+01 -1.910254871861527499e+04 9.097038721243180248e-01 11070 46533 22789 257
-5.973458891450448505e+01 -1.794807733128342807e+04 6.901747117597307746e-01 10137 43668 16741 60649
-6.091384263142326461e+01 -1.663575398162786587e+04 1.437559337349878508e-01 8240 35635 12729 46547
-6.207968780445472845e+01 -1.554190405583972097e+04 6.941965800820331101e-01 6959 30680 15544 37691
-6.301594617649961805e+01 -1.481883369034375937e+04 5.905500469138214026e-01 7615 33387 18304 43193
-6.393186660707397095e+01 -1.419135057776542817e+04 4.737082539170813789e-01 7335 32000 20180 44519
-6.480457584972160134e+01 -1.360113386866103610e+04 7.099710401924603786e-01 8423 36900 20020 51318
-6.576785772977240185e+01 -1.294440947039490129e+04 9.595438698249352250e-01 8667 38331 18863 52575
-6.678341874921176213e+01 -1.231959677320557421e+04 3.625861011447192861e-01 8448 36880 19427 50011
-6.774972882905599647e+01 -1.177029963893107197e+04 6.654136610777009464e-01 8376 37219 19511 50877
-6.872389070365252906e+01 -1.121055299472466504e+04 9.710357069422784759e-01 8491 38375 18414 52138
-6.974908066257128780e+01 -1.063463595826909659e+04 1.251325518765497857e-01 7645 34579 19714 47297
-7.067238143411736928e+01 -1.022651706164758616e+04 7.431200024881353672e-01 8155 36824 23076 50823
-7.153751140800230246e+01 -9.878772708985330610e+03 8.089846548012882277e-01 9260 42637 18607 59936
-7.264531574045652462e+01 -9.383505172578492420e+03 7.857464222891913375e-01 9321 42336 20961 55203
-7.362507954912484820e+01 -9.012420046290284517e+03 4.810741736255833012e-01 8928 41404 22561 56628
-7.457320060739225198e+01 -8.701817351445009990e+03 6.542610829760483471e-01 9449 43162 22400 60046
-7.556404086056093661e+01 -8.376035777613307800e+03 8.246205019597900587e-02 9544 43959 20508 60566
-7.661773575331082498e+01 -8.029065627859594315e+03 8.501095847695249175e-01 9169 42426 21986 57203
-7.758931002255464193e+01 -7.744719642873626071e+03 8.134056602684576476e-02 9812 45326 21975 61583
-7.860934476686894357e+01 -7.478793501207332156e+03 1.874644851062299278e-01 9547 44156 23975 60293
-7.955763632181430012e+01 -7.257692493780130462e+03 7.881882012231357093e-01 9621 45160 22292 63457
-8.058818977419943508e+01 -7.020216961634203471e+03 7.317889573726097385e-01 8988 41774 24499 58407
-8.150114039937052723e+01 -6.818572819492430426e+03 5.635600971473330167e-01 9606 44978 27136 63699
-8.240076742566441226e+01 -6.616809467697050422e+03 7.463938069983596657e-01 10027 47436 24697 3280
-8.341766189756889105e+01 -6.401114487205329169e+03 1.647180688400185500e-01 9926 47720 21385 1055
-8.450774508511767635e+01 -6.191254689931684879e+03 7.811836737220385629e-01 9247 45241 27003 60833
-8.538028047438045576e+01 -6.044220129246589750e+03 6.106149342400383206e-01 9862 48234 23744 4012
-8.643101848750812621e+01 -5.878807115177932246e+03 7.427108259594570328e-01 9260 45451 23655 63364
-8.742120266543642515e+01 -5.735896473251571479e+03 5.552926079346962585e-01 9734 48192 25882 565
-8.837859652751163253e+01 -5.611285709291936655e+03 3.899695731084699690e-01 9816 48162 26093 2632
-8.935131277515662873e+01 -5.503720408057793065e+03 5.379462329514932417e-01 9833 49603 25394 4341
-9.035971208491702100e+01 -5.390645010847135381e+03 9.644127384402515490e-01 9797 48713 18966 2845
-9.154394220675810345e+01 -5.269939742735885375e+03 1.635726752032014286e-01 7833 40173 17926 53421
-9.260070812043819899e+01 -5.171210909434672431e+03 2.028489510813596616e-02 7057 36665 19889 48832
-9.353770534328330655e+01 -5.088879811870604499e+03 6.035113420102593274e-03 7080 36838 18701 50913
-9.453865583454914656e+01 -4.990093722099063598e+03 3.117118203789958630e-01 6533 34110 16317 47000
-9.557288719921250220e+01 -4.892453980041589602e+03 4.717524294781352268e-01 5846 30496 12304 41013
-9.668290522334152115e+01 -4.773921990864191685e+03 2.607979507606010272e-01 4976 26648 13702 33222
-9.762269946641350771e+01 -4.689202980697030398e+03 1.843259899305837446e-01 4894 26217 12856 34234
-9.861194255209299797e+01 -4.601708541110318038e+03 5.892465734904135388e-01 4781 25317 13363 32424
-9.955282496712973739e+01 -4.515636080785245213e+03 8.033658753682004772e-02 4824 25734 14166 33318
-1.004759497584485217e+02 -4.435270239595423845e+03 3.136085014163665918e-01 5022 26483 12555 34849
-1.014868554184374148e+02 -4.342536313152819275e+03 3.107289583599813221e-01 4727 25943 9666 32740
-1.025927147627995026e+02 -4.249163297629036606e+03 7.693499147409141870e-01 3997 21434 14201 25323
-1.033831059592413624e+02 -4.200772098006720626e+03 4.469664000186486796e-01 4770 26660 15223 35072
-1.042927285772192931e+02 -4.146803298566135709e+03 8.502664972192642834e-01 4951 26447 14084 35827
-1.052569448279337365e+02 -4.081939493716405195e+03 2.937456011657748611e-01 4852 26915 16541 35267
-1.061215768197769052e+02 -4.034718372929631187e+03 7.679348881834958673e-01 5200 28612 18560 39367
-1.069764888740151747e+02 -3.987767419501439690e+03 8.833289353502560282e-02 5881 32470 21123 45231
-1.078292946740056095e+02 -3.938570126416706444e+03 4.661902269978899227e-01 6491 36700 23969 52084
-1.086842011667923771e+02 -3.894807082577326128e+03 3.355967775002188097e-02 7586 42647 25860 60894
-1.095874262883268671e+02 -3.848251358715078823e+03 6.149282761418232157e-01 8182 46070 23785 618
-1.106028829081088531e+02 -3.798441778261721083e+03 7.257355470519293306e-01 8186 47532 21805 43
-1.116699684269729431e+02 -3.752796044966970840e+03 4.598497201711311266e-01 7643 43502 20306 59527
-1.127186335032534146e+02 -3.711076436206857579e+03 6.827070650152220477e-01 7280 43206 22237 57756
-1.136889759324306652e+02 -3.680230195954622104e+03 1.228245810223747014e-01 7450 43724 24561 60215
-1.146200955275014053e+02 -3.648940278781534289e+03 9.208230394483364611e-02 7907 45854 21700 64596
-1.156801615699036176e+02 -3.611779617381198477e+03 1.604716008637337987e-01 7803 45887 26529 61841
-1.165758847568630188e+02 -3.583439000943636529e+03 9.895489440918669999e-01 8477 49296 21068 4546
-1.177105431728288352e+02 -3.545207901683581440e+03 5.042371808145117429e-01 7337 43198 15529 58520
-1.189101073587803086e+02 -3.509759228729864844e+03 1.670403282215844332e-01 6110 36992 20529 46911
-1.198028380438705227e+02 -3.488506073155141621e+03 3.454233614050449680e-02 7022 41557 18880 56329
-1.208614623200547555e+02 -3.464852224669746192e+03 8.264807703099776859e-01 6401 38644 22185 51695
-1.217631192502453530e+02 -3.446870149496859085e+03 2.480545124716783678e-01 6941 41920 21097 58356
-1.227743898007975787e+02 -3.425740170779448817e+03 8.491529052896126251e-01 7149 41944 17537 57317
-1.238891968894066622e+02 -3.403415387747902059e+03 2.346233042479752839e-01 6414 38791 19682 50567
-1.248541184741085743e+02 -3.388607357136480005e+03 6.971936460047990503e-01 6232 37730 18835 51604
-1.258589985738365868e+02 -3.371904964639229547e+03 1.671997051065093054e-01 6280 37944 19081 51036
-1.268489888856535543e+02 -3.357111820647020977e+03 2.109250761912753458e-01 6102 37559 18716 50875
-1.278489844891222589e+02 -3.343324960228877444e+03 4.816066220157801392e-01 6144 37816 17653 50770
-1.288833603901809397e+02 -3.329074948380081423e+03 5.972907631742119250e-01 5856 37163 19700 49046
-1.298290278302695526e+02 -3.317562897345135752e+03 4.633370440686476743e-01 6205 39053 25393 53024
-1.306558830555023576e+02 -3.308722821016078797e+03 5.601368455452443440e-01 7242 45964 24513 7
-1.316447250121113086e+02 -3.297446663219776838e+03 9.967638952708341993e-01 7407 47185 20942 458
-1.327422187344042754e+02 -3.285821864217297843e+03 4.147433299717085409e-01 6953 43212 18441 58341
-1.338379534152378483e+02 -3.274059784099586523e+03 5.762257586337861115e-01 5912 38121 13756 50667
-1.350138715510269947e+02 -3.260586449858974447e+03 4.017691155263832248e-01 5077 31792 14914 39814
-1.360037535955640351e+02 -3.250006174713576911e+03 3.778178090390147403e-01 4769 29837 17548 38962
-1.368870364050142712e+02 -3.240183811367700400e+03 1.945982301403833825e-01 5343 32869 17456 44596
-1.378502710874571449e+02 -3.227642955960844120e+03 1.743168638868764497e-01 5786 35362 20278 47111
-1.387533800683422669e+02 -3.215428583324379815e+03 8.932882105876220891e-01 6415 39243 28430 53771
-1.395101888945360997e+02 -3.206595707243288871e+03 6.358516340621253038e-01 7591 46675 34729 3760
-1.402880152371427300e+02 -3.197395603207497970e+03 3.679952936593373636e-01 8749 54398 23827 17830
-1.414644353515039086e+02 -3.183781767255936302e+03 2.546562547974273727e-01 7440 46870 21696 64950
-1.425282937957796037e+02 -3.172399913442971865e+03 4.293524505957473369e-01 7346 46290 21864 62217
-1.435584159626579321e+02 -3.161436274566340671e+03 3.813941888498630917e-01 8013 49815 19000 396
-1.447167414422822844e+02 -3.149482737924244248e+03 4.243088632578413399e-01 6608 41940 18030 55154
-1.457901682287874223e+02 -3.138074903585582433e+03 5.067196587562258214e-01 6544 40886 21361 53159
-1.467339114266434592e+02 -3.129725843679753780e+03 5.611493651811508832e-01 6546 41727 21498 57290
-1.477210866172102897e+02 -3.120522860368131660e+03 1.446246602354415989e-01 6512 40590 18844 56345
-1.487810733146213806e+02 -3.110698892475129014e+03 8.981222507965207491e-01 5958 37252 16711 50349
-1.498430205206302332e+02 -3.100359723205539012e+03 9.578423719613759612e-04 4991 32788 15792 43677
-1.508530293174300709e+02 -3.092867835204728181e+03 7.091018486316290614e-01 4644 30572 15292 40590
-1.518395772232505863e+02 -3.086146987982056544e+03 1.130298967604662363e-01 4642 30672 17996 40130
-1.527240365160780300e+02 -3.080270724798768242e+03 3.520668489599363404e-01 5013 33149 19041 45393
-1.536446186056018917e+02 -3.074067405117355065e+03 7.638591445056190921e-01 5408 36136 25792 49491
-1.544181206833333704e+02 -3.069678201884861664e+03 4.252886853378903820e-01 6518 42698 23001 62668
-1.554196575479091678e+02 -3.062707038334352546e+03 5.583613936344633544e-01 5779 39399 21314 56715
-1.564059138439389756e+02 -3.056566944483374755e+03 7.690377094823039883e-01 5811 39477 21421 55099
-1.573704647933348610e+02 -3.050449938012070561e+03 7.200510111961435644e-01 6155 41933 23087 57614
-1.583144310387665143e+02 -3.044921949815317930e+03 6.049026680059268468e-01 6541 44091 23952 61407
-1.592754157587222892e+02 -3.039292526040714165e+03 3.946496729545007076e-01 6665 43858 21867 62014
-1.603032827466461754e+02 -3.032316880865349958e+03 4.514843783515120057e-01 6360 41642 14647 57727
-1.615270214181334438e+02 -3.023399097686902678e+03 9.441549502851145359e-01 5065 32838 16617 41802
-1.624821758557651776e+02 -3.017414813957053866e+03 1.162057446687678186e-01 5098 34881 14475 45738
-1.635684007206604065e+02 -3.010615994900763326e+03 2.121046718097385764e-01 4329 28730 12612 37401
-1.646146266407033352e+02 -3.004589820250312187e+03 7.821308623131113524e-01 4163 27313 14219 34172
-1.655487640848468800e+02 -2.999041946986380026e+03 1.333110846946710670e-01 4340 29078 20269 37601
-1.663234259351367541e+02 -2.994833342717706728e+03 1.301631179928743054e-01 5347 35894 23263 50353
-1.671774656501785046e+02 -2.989666067137342907e+03 5.837262828169518247e-01 5960 40852 29231 58348
-1.679666904037778181e+02 -2.985323224636717896e+03 3.585521193324809341e-01 7374 49864 29529 7828
-1.689029998779091954e+02 -2.979266411386043274e+03 6.526751897985376694e-01 7911 54137 33026 12413
-1.698005148901629582e+02 -2.974030447166828708e+03 2.173011206314116317e-01 8428 58737 31211 20447
-1.708102788764940954e+02 -2.967899034775989549e+03 6.923662753314303586e-01 8554 58878 30345 18720
-1.718256691248582513e+02 -2.961765177612953266e+03 8.668728926927518064e-01 8936 60894 34618 19950
-1.727546808160141154e+02 -2.956637018508356960e+03 5.313534091034801676e-01 9603 421 28545 29270
-1.739010321270957604e+02 -2.950054016000943193e+03 7.826331380526723169e-01 9323 63598 29014 20902
-1.749672980054628795e+02 -2.943788713410813216e+03 2.632272282604450897e-01 8567 59471 31820 17177
-1.759347489209490902e+02 -2.939117524080828389e+03 5.473517237303262561e-01 8612 59588 35189 20136
-1.768530775590882342e+02 -2.934742560391025563e+03 5.149803589511791069e-01 9370 64693 24182 28583
-1.781089326581717955e+02 -2.927946360354159879e+03 5.245841861525057936e-01 8317 57432 30472 10310
-1.790459573009075029e+02 -2.923282625223790092e+03 1.585157697082913708e-01 8661 59687 35867 18788
-1.799383503934787996e+02 -2.919121802096157808e+03 3.771873750766734368e-01 9550 561 35406 30698
-1.809382762001166611e+02 -2.914726664666332908e+03 2.664465869924414476e-01 10315 6333 42193 35986
-1.818439492727960101e+02 -2.910877688893581762e+03 6.930504356817790423e-02 11790 16080 35856 52532
-1.829920158941740453e+02 -2.905537489353875571e+03 1.826788402707220094e-01 11446 15613 33818 45699
-1.841372233602248798e+02 -2.900375425354791787e+03 8.646582327481645569e-01 10888 11933 28791 40002
-1.853589457495589556e+02 -2.894989406039363075e+03 1.519845949445798039e-01 9910 4327 35407 27296
-1.863318818365924869e+02 -2.890799102712337117e+03 8.209522492025604912e-01 10857 11185 42463 40827
-1.872682650271844977e+02 -2.887097366793789206e+03 5.124310266098328626e-01 12127 20295 41571 56972
-1.883319262748752863e+02 -2.882716335942647220e+03 5.207369943964156311e-01 12859 24363 35491 60126
-1.895371951619926847e+02 -2.877687954427417480e+03 6.362434590337679996e-01 11560 16051 33360 45691
-1.906924745081431922e+02 -2.872898772519118211e+03 6.711951204334086762e-01 10671 8708 27586 36292
-1.919170379268660440e+02 -2.867520833299567130e+03 5.535088566929534382e-02 9483 65028 35344 21341
-1.928422825468743156e+02 -2.863239278759816898e+03 5.568229683229968252e-01 9474 64970 24649 29018
-1.940886362474348061e+02 -2.857732328428462552e+03 8.724825960482829323e-01 7917 54569 23652 7836
-1.951790791368592863e+02 -2.853200829480384073e+03 2.303389028727922394e-01 7689 52232 25196 4608
-1.961954673463103234e+02 -2.849157779659551124e+03 8.275946802595594010e-01 7312 51054 24514 4915
-1.972335593170483605e+02 -2.845222396036033842e+03 5.614483498397703221e-01 6995 47035 26490 285
-1.981720069389513696e+02 -2.841579480641955797e+03 4.339779464042337054e-01 7021 47369 24504 2531
-1.991867426917645219e+02 -2.837370570982599929e+03 2.649950931953604094e-01 6513 44298 20496 63103
-2.002679589948175760e+02 -2.832469276782538145e+03 6.102016942169363745e-01 6259 42099 15193 56873
-2.014615303618982693e+02 -2.826860139445432651e+03 9.391724046459586361e-01 5396 35525 14875 44920
-2.025219202403495444e+02 -2.821833315332891289e+03 8.106846538451351059e-01 5060 33722 20063 42746
-2.033747528518302374e+02 -2.818481331480768858e+03 9.918787607951919105e-02 5528 37599 24567 51876
-2.042105141006321389e+02 -2.815048093377710757e+03 3.044047329371426525e-01 6003 40682 21345 59463
-2.052264640269256404e+02 -2.810524078566284970e+03 9.112661431334146966e-01 6352 41511 23620 57179
-2.061503089321583673e+02 -2.806236618616899250e+03 2.055182170500713390e-02 6509 43133 21713 61090
-2.071728665113473369e+02 -2.801009410076382665e+03 3.761683845705903195e-01 6089 41066 25574 57000
-2.080407474802419756e+02 -2.796783811334508755e+03 5.586391527546413771e-01 6999 45379 24944 65192
-2.090141171765825732e+02 -2.791533456827127338e+03 5.159221845167550891e-01 7026 45410 24743 64608
-2.099869468187731627e+02 -2.785899697821312657e+03 3.953779547541240724e-01 7094 45665 23391 64689
-2.109984934271842860e+02 -2.779810843069941711e+03 6.824361708687796124e-01 6858 43844 15138 61437
-2.122444047896132417e+02 -2.772317749799911326e+03 4.495382757505970162e-01 5715 36767 14693 46135
-2.133274331458380573e+02 -2.766362731965365583e+03 2.457655846637652464e-01 5025 32174 9749 41140
-2.145520736261769912e+02 -2.759404759740207737e+03 9.524422828874145042e-01 3815 25254 13177 29290
-2.154502536549339595e+02 -2.755146774512242700e+03 3.172231151764539625e-01 4514 30387 17982 37834
-2.163026632978765633e+02 -2.751592428168336028e+03 8.714724695870480486e-01 4872 33174 14101 45397
-2.173988991157127089e+02 -2.746300539312128421e+03 8.966750534021671326e-01 4386 29458 17118 37775
-2.182800672945716371e+02 -2.742847757662133517e+03 1.540611059401098548e-01 4838 31803 15147 43169
-2.193071063861534924e+02 -2.738842092765609777e+03 7.649632128536115738e-01 4958 32542 18475 41933
-2.202003461150697490e+02 -2.735315266295508081e+03 5.015480776897432991e-01 5500 36584 23162 49297
-2.210443186659207413e+02 -2.731999639600511728e+03 2.512944987535403740e-01 6077 39810 20923 57235
-2.220483827478165040e+02 -2.727705931995878018e+03 8.540301606267001189e-01 6000 39734 27339 54917
-2.228461323402291328e+02 -2.724306830377326605e+03 1.355133425607937814e-01 7472 48928 39742 5003
-2.235335290386798022e+02 -2.721364812294780677e+03 3.440788455065346696e-01 9369 62155 34464 30636
-2.245531989437110383e+02 -2.716756412217986508e+03 7.615910117226225573e-01 9427 63068 26130 26256
-2.257374114975069972e+02 -2.710890139273122259e+03 9.841499110874359912e-01 8608 57342 33253 12211
-2.266280111769478935e+02 -2.706912110517347173e+03 8.195252929574881051e-01 9698 64222 35427 26153
-2.275912956348012699e+02 -2.702605611413115639e+03 5.789139671543255261e-01 10408 3018 32596 32666
-2.286680927471227278e+02 -2.698112045170703823e+03 1.455204268270549051e-02 9933 624 34177 27455
-2.296688014471392592e+02 -2.693956894574368107e+03 6.321948892069767512e-01 9684 64439 29162 27282
-2.307840635428444216e+02 -2.689100772085982499e+03 2.777787369205257373e-01 9125 60936 38090 18781
-2.316306584477559909e+02 -2.685520085862973247e+03 7.307789164425265716e-01 9899 1550 30229 33869
-2.327716813632497974e+02 -2.681004342487572558e+03 8.939291744245109195e-01 9126 60967 29662 19867
-2.338133254965686092e+02 -2.677003140204221381e+03 6.181678480587913249e-01 8578 58456 23666 16801
-2.349853072253752373e+02 -2.673182914121393878e+03 5.655145373811905074e-01 7260 49501 18039 1850
-2.361903012196813734e+02 -2.668928535334626758e+03 8.115878969203524917e-01 6526 44189 23455 56424
-2.371102990480757740e+02 -2.666025361758338931e+03 1.309160681633314560e-02 7275 49423 28799 1646
-2.380038135173327589e+02 -2.663237682103056159e+03 7.261451080249955448e-01 7633 52468 35283 9873
-2.388285714770033508e+02 -2.660965084917478634e+03 9.498431872062813586e-01 9137 63047 40128 27031
-2.397037374889801526e+02 -2.658293178930251997e+03 6.071748695059429879e-02 10082 4889 36544 39250
-2.407445044178405738e+02 -2.655287593989544803e+03 5.546060914762545035e-01 10481 6194 40655 37036
-2.416870224322194076e+02 -2.652472459436914505e+03 1.772595869964409265e-02 10793 9571 31662 44448
-2.428720318975765906e+02 -2.648972756591779671e+03 8.219768689865833977e-01 9354 791 24501 26720
-2.441040925414802416e+02 -2.645107297292392104e+03 5.581706430983610634e-01 7328 51431 28433 4618
-2.450363366782877961e+02 -2.642609016654084371e+03 3.130547400052763329e-01 7347 52462 19327 9553
-2.462737621722233143e+02 -2.639160542587938380e+03 7.607623208077001209e-01 5592 41303 11845 54909
-2.475781975264514472e+02 -2.635698033462458625e+03 5.335196245246589530e-01 3897 28609 9832 34703
-2.487063368259606193e+02 -2.632916745153520424e+03 8.580297683436575173e-01 3184 23216 11563 27322
-2.496389412086911648e+02 -2.630911832116583355e+03 5.061863921703479985e-01 3454 24569 14347 30409
-2.505092452362656843e+02 -2.628740632910021304e+03 4.825507555961987549e-01 3548 25572 15077 34205
-2.514112341644267588e+02 -2.626352224270889565e+03 7.159392112807904107e-01 3978 27979 16705 37310
-2.523001480624751878e+02 -2.623835885865391901e+03 5.939776874796551254e-02 4445 31968 15751 42887
-2.533011060285926703e+02 -2.621453845075721347e+03 3.584576976801332471e-01 4471 33020 17759 43007
-2.542329098244102568e+02 -2.619318194847679479e+03 5.472496647594655705e-01 4882 34313 23157 46283
-2.550390675653789856e+02 -2.617472360523840052e+03 7.076679951142019753e-01 5028 36520 19865 53888
-2.560377741848444089e+02 -2.615288065560918767e+03 6.671393638031177797e-01 4940 35660 14006 49822
-2.571935719585094375e+02 -2.612529757965141471e+03 7.380062392490134293e-01 3847 27928 14203 36201
-2.581587012215735513e+02 -2.610721292974386870e+03 6.555319867458359040e-02 3619 26438 11403 34903
-2.592192171958457152e+02 -2.608588215583049532e+03 8.609700310025059089e-01 3158 23968 13684 29574
-2.601018196112788701e+02 -2.606903502533080427e+03 3.988000365184873885e-05 3552 25797 13267 33745
-2.610669659907812274e+02 -2.604673192313388427e+03 3.311381173154179791e-01 3521 25512 12695 33061
-2.620448330162180355e+02 -2.601970469737148960e+03 2.836646523165591294e-01 3354 23890 12232 30855
-2.630072150480244204e+02 -2.599120517435535930e+03 5.998784720904173362e-01 3164 22899 14373 29283
-2.638581998224979657e+02 -2.596826269631392279e+03 5.140596257682229497e-01 3862 27432 13361 36044
-2.648541445161958450e+02 -2.593763893157363782e+03 6.782916145677451158e-01 3569 26029 16131 33649
-2.657089491179381184e+02 -2.591415671179970104e+03 4.050174036078233453e-01 3981 28986 16534 39363
-2.666332636539514169e+02 -2.589203778028533634e+03 4.592931460914684294e-01 3885 28449 14417 39199
-2.676333982400273044e+02 -2.586709484290827731e+03 9.900618951984566096e-02 3780 28768 14003 37450
-2.686245468007037402e+02 -2.584686661996645853e+03 5.645075882815216994e-01 3803 28468 15019 36782
-2.695671107684050298e+02 -2.582657684893021269e+03 3.234666602714690309e-01 4012 29368 18049 38653
-2.704289832642170381e+02 -2.580804213162625274e+03 2.392651940289725054e-01 4402 33788 17583 46050
-2.714067587273938216e+02 -2.578793247149681520e+03 3.398316084333998788e-01 4754 36021 17412 47845
-2.724132513357516245e+02 -2.576846769404176484e+03 2.583815747416871034e-01 4676 34634 19940 46267
-2.733162310963645041e+02 -2.575218527313195409e+03 7.255499727343721617e-01 4831 35994 15471 50180
-2.744208483833981518e+02 -2.573044860831834285e+03 9.527476918068989997e-01 4289 32918 17659 42592
-2.753504838967738237e+02 -2.571371777033340550e+03 4.651506099384620785e-01 4550 34726 18076 46614
-2.763187609492972570e+02 -2.569630870482902537e+03 6.834130312492920911e-01 4685 34520 16807 46814
