# level_assignment log_likelihood tiebreaker ID
12 -3.997695427015400957e+06 4.168702228369542961e-01 1
15 -2.132922667111507617e+06 1.747503473747544778e-01 2
16 -1.478219717407764867e+06 8.031811214833614043e-01 2
12 -3.423518025715115014e+06 3.465996341468574049e-01 2
16 -1.580373301877526101e+06 9.985699659889998303e-01 4
7 -1.761456913576941937e+07 4.735840198239835708e-01 0
16 -1.494431858781502116e+06 1.304097616227634648e-01 2
14 -2.071738843489089515e+06 5.474144711109009132e-01 2
17 -8.287856156506210100e+05 7.597559518052821037e-01 1
17 -1.417044157295107376e+06 3.323498827048907422e-01 3
11 -5.162201514319469221e+06 5.722020630543022124e-01 2
15 -1.241339671727924142e+06 2.467737177509563562e-01 4
17 -1.260017043782550842e+06 4.675560631883604046e-01 0
17 -1.167722313761474332e+06 3.552465803203812972e-02 2
12 -3.008445343370759860e+06 8.212638592961927220e-01 1
13 -3.016487945886940230e+06 6.499772882710703747e-01 4
16 -1.524736772240637569e+06 6.791679726028512221e-01 2
15 -1.961182692142245593e+06 1.710120848835541274e-01 2
10 -5.887955933893397450e+06 1.661141802773418719e-01 4
16 -1.752436598589168862e+06 6.782139280177914564e-01 0
11 -4.735079819006712176e+06 2.736676463397342274e-01 4
12 -3.555211756321755238e+06 9.265471101587803293e-01 3
12 -3.794745908104537055e+06 1.330130362835346969e-01 2
14 -2.173565000314700417e+06 6.153693897733307494e-02 1
13 -3.172275775520394556e+06 7.173942278176967946e-01 0
5 -1.605548593337547779e+07 9.507719470742960477e-02 4
17 -1.386556201950572664e+06 6.521840399781478892e-01 1
10 -7.147287398538278416e+06 5.765591252299999692e-01 2
6 -1.251783541337241605e+07 5.616884653169316177e-01 3
16 -1.327138445509625133e+06 1.759417414201349394e-01 1
12 -4.143000705162106082e+06 7.191722785838834398e-01 3
16 -1.641314657850619406e+06 1.367509716594320079e-01 2
16 -1.450173694291241467e+06 7.536749666042492635e-01 2
18 -1.184585656822466524e+06 8.314371682630192772e-01 2
17 -1.400185476368165575e+06 1.769626953522288049e-01 2
18 -1.106362344479740597e+06 1.214236816495077170e-01 0
9 -6.874474127937149256e+06 6.498384669296615179e-01 4
10 -6.850575343272817321e+06 3.153867212889451821e-01 4
12 -2.630539038646741305e+06 1.437995222671699658e-01 3
18 -1.190489920532545773e+06 6.867695287193344988e-01 3
17 -7.007620548545715865e+05 4.011272921570261385e-01 3
17 -1.131083406422595261e+06 8.383534002653724171e-01 2
18 -8.989466327713818755e+05 4.760987821070573611e-01 2
18 -9.090711230817143805e+05 8.085461044149446774e-01 0
16 -9.749911770155476406e+05 7.049673778096013366e-02 3
9 -7.043064184971908107e+06 9.456426873777441788e-02 4
6 -7.025921493770930171e+07 6.914969148539520383e-01 1
18 -1.141794542438186239e+06 5.933034279366466990e-02 3
12 -1.895055215062186588e+06 4.148519094675506835e-02 2
14 -2.462457884156795684e+06 8.649480914333633752e-01 2
12 -3.438087795614447910e+06 2.367067903142561214e-02 4
11 -4.410380857722325251e+06 8.900107095730067641e-01 1
16 -1.614085947362849023e+06 9.922393819717960639e-01 0
9 -6.830108769418684766e+06 2.402130170524931219e-01 1
8 -9.600359538851523772e+06 6.129755245114356654e-01 1
13 -3.148065266836992931e+06 7.905134562413900223e-01 2
15 -1.744838635294075822e+06 5.884327850016634054e-01 1
14 -2.636419032824522350e+06 8.541789115498792384e-01 1
18 -1.192009539150643395e+06 5.641906637816617165e-01 2
3 -1.525301036351069212e+08 8.644897980450734210e-01 4
8 -7.984358952765703201e+06 6.655332118284036369e-01 1
11 -4.558016409665711224e+06 2.984824336637466047e-01 1
14 -2.615749096759239677e+06 3.485549167233692458e-02 1
17 -1.207351418983271578e+06 8.945556602761567389e-01 3
18 -1.131449233461896889e+06 1.209719166970701920e-01 3
9 -1.048048721751661226e+07 6.031915207463640627e-01 4
18 -8.771353473181149457e+05 3.416324852633991771e-01 1
16 -1.232274180801083799e+06 8.051312789755056265e-01 2
14 -1.907808058684993070e+06 9.907805882534601594e-01 0
12 -3.162421100633862894e+06 2.097179188011192019e-01 2
19 -6.348200438900564332e+05 4.226798053808369371e-01 1
18 -1.083270702971707564e+06 8.387793594934656038e-02 1
15 -1.517408894663901767e+06 7.703262306905716006e-01 1
17 -1.415599457323887385e+06 7.722456727236370888e-01 2
17 -1.251265974662758410e+06 5.551304536422917435e-01 0
12 -3.395938829915391747e+06 5.810453888853026605e-01 4
